,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z
422,348.40667083465365,21.57368744789794,10402800040577,20.527422,0.037150193,18.971945,0.014388446,99.0,99.0,18.1086,0.01349071,0.282273
423,348.8737643554813,21.33327411393826,10402800063619,22.247744,0.10788633,20.537474,0.046845194,99.0,99.0,99.0,99.0,0.676357
424,348.5612150787706,20.346260545085187,10402800029215,23.022823,0.14702293,20.42661,0.038482327,99.0,99.0,19.14348,0.022892704,0.481076
425,348.3082577049273,20.681055999436936,10402800090792,22.520708,0.12698627,20.340754,0.033958107,99.0,99.0,19.253656,0.023117218,0.514708
426,348.6722784499431,20.84259996595408,10402800000714,19.90157,0.018005412,18.417175,0.007352105,99.0,99.0,17.650202,0.0061071515,0.288455
427,347.8406763776033,20.334939071944945,10402800028230,22.697325,0.11845129,21.542519,0.087091945,99.0,99.0,19.810173,0.031046018,0.915384
428,348.75691920813637,20.56039083225096,10402800028026,22.323168,0.09773307,20.224672,0.030325893,99.0,99.0,18.924603,0.018963726,0.518705
429,348.2738387090943,21.158509774933748,10402800009889,21.899294,0.08816928,20.169434,0.03292518,99.0,99.0,19.049768,0.020866338,0.505952
430,348.52199440760285,19.903326263800324,10402800002776,20.927334,0.05388487,19.07515,0.024863336,99.0,99.0,99.0,99.0,0.522605
431,348.0134314510277,21.33619788786652,10402800022810,21.935362,0.06267187,20.05621,0.026214525,99.0,99.0,18.998034,0.0147434035,0.568707
432,349.716494746846,20.641571843277205,10402800019529,21.573261,0.073150426,20.148455,0.037711814,99.0,99.0,19.173061,0.029539447,0.420009
433,349.4203553293308,21.13247374121906,10402800010863,20.823856,0.043732733,19.097153,0.016785491,99.0,99.0,18.528778,0.01966076,0.417391
434,349.0422805090965,21.548452713883833,10402800062393,21.715637,0.08122779,20.017082,0.023982877,99.0,99.0,18.705423,0.018496208,0.549458
435,347.7845088550317,20.36849559123104,10402800092407,22.554682,0.08671746,20.581678,0.038447067,99.0,99.0,19.437065,0.032618724,0.569863
436,348.6582068680695,20.175945616548802,10402800119640,21.610758,0.062119123,19.679628,0.02593662,99.0,99.0,18.5477,0.01635396,0.521498
437,349.3263568761812,20.039920613558124,10402800081898,18.132414,0.0067393244,17.172436,0.0053163986,99.0,99.0,16.577589,0.006656613,0.172256
438,349.0414302054368,20.401246932519868,10402800053008,19.32567,0.013987186,17.781559,0.0072573363,99.0,99.0,17.043709,0.008972692,0.293774
439,347.8021000259191,21.063722931230245,10402800000118,21.244934,0.071645625,19.859943,0.037228893,99.0,99.0,19.342422,0.03493005,0.515326
440,348.6274020688478,19.921580874607614,10402800002590,22.508905,0.09805207,20.533773,0.032910574,99.0,99.0,19.344015,0.027810806,0.521625
441,348.5230684601614,20.43449348076662,10402800093150,22.116781,0.09043005,20.73759,0.047599453,99.0,99.0,19.303013,0.032138895,0.62361
442,349.3045292562266,20.30463616470007,10402800109319,22.609442,0.085686065,20.60805,0.04452568,99.0,99.0,19.511387,0.03468525,0.521017
443,348.7957855460181,19.931425126825346,10402800002689,21.395947,0.04860971,20.564573,0.039287064,99.0,99.0,19.687632,0.03836074,0.666752
444,348.45116800672076,19.82258810330272,10402800059158,20.684084,0.04130597,19.064814,0.02352886,99.0,99.0,17.943583,0.015890487,0.521065
445,348.50210761624993,20.443278044728302,10402800017074,20.032097,0.030728646,18.51103,0.014255306,99.0,99.0,99.0,99.0,0.48049
446,348.17583692670325,21.297378597318954,10402800112008,18.979675,0.015022767,18.061142,0.00892129,99.0,99.0,17.26886,0.0075887153,0.166047
