,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z,MAG_AUTO_G-MAG_AUTO_R,MAG_AUTO_G-MAG_AUTO_I,MAG_AUTO_G-MAG_AUTO_Z,MAG_AUTO_R-MAG_AUTO_I,MAG_AUTO_R-MAG_AUTO_Z,MAG_AUTO_I-MAG_AUTO_Z
577,349.385505877339,20.488198110975944,10402800080333,22.258694,0.097155795,20.354311,0.043650966,99.0,99.0,19.315493,0.034375437,0.51207,1.9043827,-76.7413,2.943201,-78.64569,1.0388184,79.68451
578,348.9516505051179,21.5237198991764,10402800007585,21.797901,0.09904583,20.008604,0.034668617,99.0,99.0,18.778313,0.026770452,0.547406,1.7892971,-77.2021,3.0195885,-78.991394,1.2302914,80.22169
579,349.26598349666295,20.685333958735683,10402800079637,22.438852,0.12086544,20.24602,0.04921518,99.0,99.0,99.0,99.0,0.532677,2.192833,-76.56115,-76.56115,-78.75398,-78.75398,0.0
580,349.28340144428256,20.839065786586417,10402800073287,21.931171,0.07667794,20.223366,0.035005722,99.0,99.0,19.070045,0.02517419,0.560163,1.7078056,-77.06883,2.861126,-78.776634,1.1533203,79.929955
581,349.62246076000724,20.520340191702275,10402800051809,20.027338,0.026837358,18.857935,0.016859641,99.0,99.0,18.02755,0.0152579695,0.240175,1.1694031,-78.972664,1.9997883,-80.14207,0.8303852,80.97245
582,349.2117523416376,20.789978829369133,10402800073214,20.576576,0.037765786,19.420914,0.028197775,99.0,99.0,18.924011,0.031322114,0.20402,1.1556625,-78.42342,1.652565,-79.57909,0.49690247,80.07599
583,349.911627278684,20.64047365060695,10402800019757,20.729475,0.029085783,19.098864,0.012665537,99.0,99.0,18.274176,0.010254827,0.408408,1.6306114,-78.27052,2.4552994,-79.90114,0.82468796,80.72582
584,348.30307523532036,20.239527803208276,10402800054312,21.924213,0.07024178,20.080372,0.027841834,99.0,99.0,19.039604,0.018831497,0.521797,1.8438416,-77.07579,2.8846092,-78.91963,1.0407677,79.960396
585,349.7685111399486,20.442649258071427,10402800054207,21.257364,0.043370828,19.446447,0.02201696,99.0,99.0,18.56502,0.02172984,0.453574,1.8109169,-77.74264,2.6923447,-79.55355,0.88142776,80.43498
586,349.77147038319134,21.040968432494324,10402800043195,19.833443,0.01592478,18.318726,0.010153856,99.0,99.0,17.586113,0.010781078,0.276854,1.5147171,-79.16656,2.2473297,-80.681274,0.7326126,81.41389
587,348.3273468098735,20.69433406268223,10402800025928,21.396147,0.06283525,19.308437,0.025510523,99.0,99.0,18.079062,0.014548346,0.515829,2.0877094,-77.60385,3.3170853,-79.69156,1.2293758,80.92094
588,350.06057412881427,20.6773956350778,10402800050414,21.033827,0.032057878,19.217789,0.015341519,99.0,99.0,18.31515,0.01563444,0.397599,1.8160381,-77.96617,2.7186775,-79.78221,0.9026394,80.68485
